iter	RMSE
0	11116.54844
1	10345.08409
2	9624.636837
3	8967.09062
4	8417.814684
5	7925.948702
6	7469.56019
7	7160.263909
8	6794.259239
9	6509.391186
10	6214.593994
11	5979.576027
12	5772.448316
13	5586.198978
14	5409.177813
15	5281.28914
16	5178.21441
17	5061.802432
18	4967.952719
19	4904.904146
20	4829.134703
21	4766.57272
22	4712.840891
23	4664.12951
24	4621.028577
25	4588.694455
26	4553.015468
27	4528.717843
28	4504.033714
29	4468.187642
30	4441.751893
31	4420.208847
32	4403.565479
33	4386.82092
34	4372.02177
35	4361.585372
36	4347.647232
37	4335.389447
38	4332.831388
39	4323.298552
40	4317.178816
41	4309.752811
42	4290.183981
43	4283.593719
44	4277.098448
45	4267.511199
46	4262.189773
47	4256.097438
48	4245.809277
49	4239.248932
