iter	RMSE
0	11640.64873
1	11298.20043
2	10957.64608
3	10625.08982
4	10326.5951
5	10040.77711
6	9752.20172
7	9535.57929
8	9271.531831
9	9047.858553
10	8795.362458
11	8570.334349
12	8368.979259
13	8167.768424
14	7961.321307
15	7785.356515
16	7623.779097
17	7437.872677
18	7316.919755
19	7158.898718
20	7010.126177
21	6865.316818
22	6736.992098
23	6601.530268
24	6477.712074
25	6363.367822
26	6262.827622
27	6150.832759
28	6049.534879
29	5952.397951
30	5865.968983
31	5779.971368
32	5695.6854
33	5615.827726
34	5543.281443
35	5482.664342
36	5420.586267
37	5371.646875
38	5316.722528
39	5258.474551
40	5206.733879
41	5154.17842
42	5103.611556
43	5059.74372
44	5025.8244
45	4985.461173
46	4948.708703
47	4912.864049
48	4879.197829
49	4847.815653
50	4819.234552
51	4794.349943
52	4768.558732
53	4742.865433
54	4716.245716
55	4704.45406
56	4680.616895
57	4662.537812
58	4643.575845
59	4625.093764
60	4611.256214
61	4603.617522
62	4594.096707
63	4579.878843
64	4563.629313
65	4549.716673
66	4536.314415
67	4523.233154
68	4510.198351
69	4497.251529
70	4485.251851
71	4475.556948
72	4464.212674
73	4454.876701
74	4445.63148
75	4438.195055
76	4432.347994
77	4423.521936
78	4416.374659
79	4405.29231
80	4397.5102
81	4392.303516
82	4386.271893
83	4380.904646
84	4377.126834
85	4370.753157
86	4365.397727
87	4360.304207
88	4353.635697
89	4347.596527
90	4341.933989
91	4338.381446
92	4333.678817
93	4328.488672
94	4322.96161
95	4316.386738
96	4312.678127
97	4308.020496
98	4305.700725
99	4301.663751
100	4297.93361
101	4294.990011
102	4291.442093
103	4286.792555
104	4283.166164
105	4279.813513
106	4277.020172
107	4273.476791
108	4270.722877
109	4268.474971
110	4264.488322
111	4259.931967
112	4256.081619
113	4251.748529
114	4248.370493
115	4244.684901
116	4242.933855
117	4239.545977
118	4234.622275
119	4232.383516
120	4227.63402
121	4224.883512
122	4222.557826
123	4220.43346
124	4215.651959
125	4212.453173
126	4209.274439
127	4205.73221
128	4203.531895
129	4201.573814
130	4200.309296
131	4198.768458
132	4197.047758
133	4193.984999
134	4191.645785
135	4191.231191
136	4188.823472
137	4186.778836
138	4184.819331
139	4181.536716
140	4178.590508
141	4176.783903
142	4175.155704
143	4173.642694
144	4173.062906
145	4172.244708
146	4168.760047
147	4167.327453
148	4164.386183
149	4162.94079
150	4161.727424
151	4159.512681
152	4157.849113
153	4155.982751
154	4151.124529
155	4149.313104
156	4145.374767
157	4142.934447
158	4138.18417
159	4135.732829
160	4133.452978
161	4130.424925
162	4128.666301
163	4127.535939
164	4123.983983
165	4121.80241
166	4118.446267
167	4114.447799
168	4113.163947
169	4110.131568
170	4107.239654
171	4104.114129
172	4100.566369
173	4097.140664
174	4095.300549
175	4093.205656
176	4087.571545
